index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
366,South Korea,21,KIM Jinhyeon,06.07.1987,GK,Cerezo Osaka (JPN),0,0,0,0,0
367,South Korea,22,GO Yohan,10.03.1988,DF,FC Seoul (KOR),8,71,5921,8.875,740.125
368,South Korea,23,JO Hyeonwoo,25.09.1991,GK,Daegu FC (KOR),0,0,0,0,0
369,Mexico,1,Jose CORONA,26.01.1981,GK,Cruz Azul (MEX),0,0,0,0,0
370,Mexico,2,Hugo AYALA,31.03.1987,DF,Tigres (MEX),0,93,8264,0,0
371,Mexico,3,Carlos SALCEDO,29.09.1993,DF,Eintracht Frankfurt (GER),1,47,3745,47.0,3745.0
372,Mexico,4,Rafael MARQUEZ,13.02.1979,DF,Atlas (MEX),3,40,3429,13.333333333333334,1143.0
373,Mexico,5,Diego REYES,19.09.1992,DF,FC Porto (POR),1,59,4497,59.0,4497.0
374,Mexico,6,Jonathan DOS SANTOS,26.04.1990,MF,LA Galaxy (USA),5,66,4705,13.2,941.0
375,Mexico,7,Miguel LAYUN,25.06.1988,MF,Sevilla FC (ESP),4,57,3393,14.25,848.25
376,Mexico,8,Marco FABIAN,21.07.1989,FW,Eintracht Frankfurt (GER),4,36,2842,9.0,710.5
377,Mexico,9,Raul JIMENEZ,05.05.1991,FW,Benfica (POR),10,75,2634,7.5,263.4
378,Mexico,10,Giovani DOS SANTOS,11.05.1989,MF,LA Galaxy (USA),11,65,5315,5.909090909090909,483.1818181818182
379,Mexico,11,Carlos VELA,01.03.1989,FW,Los Angeles Football Club (USA),8,68,4521,8.5,565.125
380,Mexico,12,Alfredo TALAVERA,18.09.1982,GK,Toluca (MEX),0,0,0,0,0
381,Mexico,13,Guillermo OCHOA,13.07.1985,GK,Standard Liège (BEL),0,0,0,0,0
382,Mexico,14,Javier HERNANDEZ,01.06.1988,FW,West Ham United (ENG),5,69,4461,13.8,892.2
